rok,miesiac,liczba,imie,plec
814,2007,11,16,Wiktoria,0
815,2007,10,22,Wiktoria,0
816,2007,9,18,Wiktoria,0
817,2007,8,11,Wiktoria,0
818,2007,7,17,Wiktoria,0
819,2007,6,20,Wiktoria,0
820,2007,5,21,Wiktoria,0
821,2007,4,26,Wiktoria,0
822,2007,3,18,Wiktoria,0
823,2007,2,26,Wiktoria,0
824,2007,1,14,Wiktoria,0
825,2006,12,27,Wiktoria,0
826,2006,11,23,Wiktoria,0
827,2006,10,27,Wiktoria,0
828,2006,9,34,Wiktoria,0
829,2006,8,23,Wiktoria,0
830,2006,7,20,Wiktoria,0
831,2006,6,10,Wiktoria,0
832,2006,5,27,Wiktoria,0
833,2006,4,24,Wiktoria,0
834,2006,3,24,Wiktoria,0
835,2006,2,9,Wiktoria,0
836,2006,1,31,Wiktoria,0
837,2005,12,32,Wiktoria,0
838,2005,11,19,Wiktoria,0
